iter	Passed	Remaining
0	1	1108
1	2	1005
2	3	1044
3	4	999
4	4	943
5	5	895
6	6	859
7	6	837
8	7	819
9	8	807
10	8	792
11	9	782
12	10	773
13	10	764
14	11	760
15	12	754
16	12	749
17	13	750
18	14	757
19	15	766
20	16	763
21	17	757
22	17	751
23	18	746
24	19	743
25	19	738
26	20	735
27	21	731
28	21	727
29	22	723
30	23	719
31	23	716
32	24	713
33	25	710
34	25	708
35	26	705
36	27	703
37	27	701
38	28	702
39	29	701
40	29	699
41	30	697
42	31	694
43	31	692
44	32	690
45	33	688
46	33	685
47	34	683
48	35	681
49	35	679
50	36	677
51	37	675
52	37	674
53	38	672
54	39	671
55	39	670
56	40	668
57	41	667
58	41	666
59	42	668
60	43	671
61	44	674
62	45	676
63	46	681
64	47	688
65	48	691
66	49	693
67	50	689
68	51	690
69	51	690
70	52	691
71	53	691
72	54	690
73	55	690
74	56	692
75	56	692
76	57	692
77	58	693
78	59	693
79	60	693
80	61	693
81	61	692
82	62	694
83	63	694
84	64	692
85	65	692
86	65	691
87	66	692
88	67	692
89	68	693
90	69	693
91	70	695
92	71	695
93	72	695
94	73	695
95	73	696
96	74	696
97	75	697
98	76	698
99	77	698
100	78	698
101	78	695
102	79	695
103	80	696
104	81	696
105	82	696
106	83	699
107	84	700
108	85	700
109	86	699
110	87	698
111	88	697
112	88	697
113	89	696
114	90	695
115	91	694
116	91	694
117	92	693
118	93	691
119	94	691
120	95	691
121	96	691
122	96	689
123	97	690
124	98	691
125	99	692
126	100	692
127	101	690
128	102	691
129	103	691
130	104	691
131	105	692
132	106	692
133	107	693
134	108	693
135	109	693
136	110	693
137	110	692
138	111	693
139	112	693
140	113	692
141	114	692
142	115	692
143	116	691
144	117	691
145	118	692
146	119	691
147	120	692
148	121	692
149	122	692
150	123	693
151	124	692
152	125	693
153	126	694
154	127	693
155	128	693
156	129	692
157	129	692
158	130	691
159	131	692
160	132	692
161	133	692
162	134	692
163	136	694
164	137	694
165	138	694
166	139	694
167	140	694
168	141	693
169	141	692
170	142	692
171	143	692
172	144	691
173	145	690
174	146	690
175	147	690
176	148	690
177	149	689
178	150	690
179	151	690
180	152	688
181	152	687
182	153	687
183	154	687
184	156	687
185	157	687
186	157	686
187	158	686
188	159	685
189	160	685
190	161	685
191	162	684
192	163	684
193	164	683
194	165	683
195	166	683
196	167	682
197	168	682
198	169	682
199	170	682
200	171	681
201	172	681
202	173	680
203	174	679
204	175	679
205	176	679
206	177	678
207	178	678
208	179	677
209	180	677
210	181	677
211	182	677
212	183	676
213	184	676
214	185	676
215	186	675
216	187	676
217	188	675
218	189	675
219	190	674
220	191	674
221	192	673
222	193	673
223	194	672
224	194	671
225	195	669
226	196	668
227	197	667
228	198	667
229	199	666
230	199	664
231	200	665
232	201	664
233	202	663
234	203	662
235	204	661
236	205	660
237	205	659
238	206	658
239	207	657
240	208	656
241	209	656
242	210	654
243	210	653
244	211	652
245	212	651
246	213	650
247	214	649
248	214	647
249	215	646
250	216	646
251	217	645
252	218	644
253	219	643
254	219	642
255	220	641
256	221	640
257	222	639
258	223	638
259	224	637
260	224	637
261	225	636
262	226	635
263	227	634
264	228	633
265	229	632
266	229	631
267	230	630
268	231	629
269	232	628
270	233	626
271	233	625
272	234	625
273	235	623
274	236	623
275	237	622
276	238	621
277	238	620
278	239	619
279	240	618
280	241	617
281	242	616
282	243	615
283	244	615
284	244	614
285	245	613
286	246	612
287	247	611
288	248	610
289	248	608
290	249	607
291	250	606
292	251	605
293	251	605
294	252	604
295	253	603
296	254	601
297	255	600
298	255	599
299	256	598
300	257	597
301	258	596
302	258	595
303	259	594
304	260	593
305	261	592
306	262	591
307	262	590
308	263	589
309	264	589
310	265	588
311	266	588
312	267	588
313	268	587
314	269	585
315	270	584
316	271	583
317	271	582
318	272	581
319	273	580
320	274	579
321	274	578
322	275	577
323	276	576
324	277	575
325	277	574
326	278	573
327	279	572
328	280	571
329	280	570
330	281	569
331	282	568
332	283	567
333	283	565
334	284	565
335	285	563
336	286	562
337	286	561
338	287	560
339	288	559
340	289	558
341	289	557
342	290	556
343	291	556
344	292	555
345	293	554
346	294	553
347	294	552
348	295	551
349	296	550
350	297	549
351	297	548
352	298	547
353	299	546
354	300	545
355	300	544
356	301	543
357	302	542
358	303	541
359	303	540
360	304	539
361	305	538
362	306	537
363	307	536
364	307	535
365	308	534
366	309	533
367	310	533
368	311	532
369	311	531
370	312	530
371	313	529
372	314	528
373	314	527
374	315	526
375	316	525
376	317	524
377	318	523
378	318	522
379	319	521
380	320	520
381	321	519
382	322	518
383	322	517
384	323	516
385	324	515
386	325	514
387	325	513
388	326	512
389	327	511
390	327	510
391	328	509
392	329	508
393	330	507
394	330	506
395	331	505
396	332	505
397	333	504
398	334	503
399	335	502
400	335	501
401	336	500
402	337	499
403	338	499
404	338	497
405	339	497
406	340	496
407	341	495
408	342	494
409	342	493
410	343	492
411	344	491
412	345	490
413	345	489
414	346	488
415	347	487
416	348	486
417	348	485
418	349	484
419	350	483
420	351	483
421	352	482
422	352	481
423	353	480
424	354	479
425	355	478
426	355	477
427	356	476
428	357	475
429	358	474
430	358	473
431	359	473
432	360	472
433	361	471
434	362	470
435	363	469
436	363	468
437	364	467
438	365	467
439	366	466
440	366	465
441	367	464
442	368	463
443	369	462
444	370	461
445	370	460
446	371	459
447	372	458
448	373	457
449	374	457
450	374	456
451	375	455
452	376	454
453	377	453
454	377	452
455	378	451
456	379	451
457	380	450
458	381	449
459	381	448
460	382	447
461	383	446
462	384	445
463	385	444
464	385	444
465	386	443
466	387	442
467	388	441
468	389	440
469	389	439
470	390	439
471	391	438
472	392	437
473	393	436
474	394	436
475	395	435
476	396	434
477	396	433
478	397	432
479	398	431
480	399	430
481	399	429
482	400	428
483	401	428
484	402	427
485	402	426
